customer_id,email,hashed_email,zip_code,opt_out_flag,created_date
C0221,liam.khan57@gmail.com,99a23ae13aa38daf9eaf0fd6feed3ff30d74a86854620c3a1714d92021aef300,33101,0,2024-01-18
C0150,kai.sharma25@yahoo.com,,19103,0,2024-09-18
C0229,mila.jones49@outlook.com,,90001,0,2025-10-14
C0224,elena.haddad35@yahoo.com,,30301,0,2026-08-16
C0168,ruby.lopez55@gmail.com,3288b1596622478a739d3d83ca44fba0e49df578babbcb44b87a5b18635bb41d,20001,1,2023-04-06
C0265,omar.singh14@outlook.com,,80202,0,2025-02-13
C0255,nina.haddad78@icloud.com,6b764cc9d2eee4a130e74261b016f9abd3e68f8bd2987b1aaee8f8943dbfda96,,0,2022-07-23
C0140,aisha.murphy4@icloud.com,f213b76f8494e36d62e533078d7d6529a4c0b0176bbc2950d69bd1acfc8b8b04,80202,0,2023-10-28
C0184,liam.lopez35@protonmail.com,06de89d8071c3bf8e097456110766f2ae7b9358b9052469d2ca18c75ac579f95,60601,0,2023-08-13
C0241,lucas.nguyen73@yahoo.com,,90001,0,2026-08-27
C0299,arjun.garcia83@gmail.com,,33101,0,2025-05-01
C0029,mila.haddad98@yahoo.com,1227ed7c210b7a80621e7c6fd6b1ec9c0ca2932e9cd7dbb5642a204af4fefd69,20001,0,2022-08-06
C0247,liam.nguyen95@mail,,90001,0,2026-03-08
C0274,zoe.sharma97@protonmail.com,73c6cf357e2b2baf091823e8c0f4e393e186c8b7d70c707401a25438dcf100c3,10001,0,2025-10-12
C0023,zoe.haddad64@gmail.com,11911ffae79114e795ead7c9e2fb31b57125e019c59a3401212ed57fcdc11c42,48201,0,2022-04-07
C0122,aisha.murphy28@icloud.com,df4b4c51fb1855c286e2f4dea4ffaee38dd79675905ee0944acca72c58cc32b4,75201,0,2023-11-23
C0209,ethan.sharma23@gmail.com,,33101,0,2024-02-23
C0101,ruby.lopez92@icloud.com,,98101,0,2024-03-29
C0279,aisha.kaur8@gmail.com,4ec8f10080a20a0de0cc341110c926e3a3b0caaa58a8028c783740d85670f8e1,94102,0,2023-09-10
C0189,mila.das62@icloud.com,891ce21032d4dd09218beccd85ae0d35c84041027d2e039e70620c5632ebb2a3,94102,0,2024-07-24
C0123,aisha.rossi97@icloud.com,,30301,0,2026-09-06
C0128,mila.ali22@protonmail.com,,33101,0,2026-03-12
C0226,nina.garcia19@yahoo.com,23726df760614636d180eb441067c6b194d754244ab86a615e7d5a096018481a,80202,0,2025-10-17
C0004,,,94102,0,2026-01-06
C0051,leo.gupta62@yahoo.com,,80202,0,2024-04-01
C0158,ruby.patel20@yahoo.com,c69cc138917390dc683791fc3841b02491cfa223db6a24634627a03831006d5f,48201,0,2025-02-26
C0216,ruby.khan90@outlook.com,c7a2ea6253000bdf1878fd26ce9310ed28ff7c4caf86aaf0c8e43bc1f482c234,10001,1,2026-08-27
C0134,,,10001,0,2024-05-10
C0025,leo.kaur9@icloud.com,,02108,0,2025-05-05
C0028,leo.sharma59@gmail.com,013e0d2c5c6c632980814eddb8f603fc79e497a00f7eff4cbdd35554a7cfc20f,19103,0,2026-01-13
C0063,dev.jones13@gmail.com,17762cc6bb6353acc552e48d6affee4b418054646f1bb6ef9c89053b1527d8b0,20001,0,2023-03-13
C0276,nina.das35@yahoo.com,2e4568a3d7e7f2d916296be4531eca2182dd576f1d01d4c239d56a25d28bbe77,48201,1,2024-11-15
C0091,elena.khan86@icloud.com,,,0,2023-10-31
C0196,priya.singh74@icloud.com,76e5d6d359c55c947c403bc451bec2b4381341b30dc808f49d312d44774309a6,94102,0,2026-05-08
C0017,,,80202,0,2026-04-23
C0126,lucas.lopez3@protonmail.com,363ef99eb21d1999bb505285d9da4b9ad3394353219737f8eb44db59a3e8a866,60601,0,2023-05-04
C0035,kai.nguyen17@icloud.com,,20001,0,2022-12-05
C0144,omar.iyer98@yahoo.com,,19103,1,2024-09-02
C0075,liam.khan47@gmail.com,,85001,0,2024-01-03
C0242,kai.lopez76@yahoo.com,b32b649ed388005124055c7d0f62166d133cde9008a972486a5fefdd190b4225,80202,0,2023-04-23
C0271,ava.garcia96@protonmail.com,6959a05507c3ae50c26da06521708beb5af93a1fe13da13779296cb2789568f3,94102,0,2024-02-10
C0233,liam.patel39@icloud.com,,90001,0,2022-07-19
C0237,mateo.lopez57@icloud.com,b143104189566973f38af48156492a1a43643b3dade53ef69079bebcb5c08be3,94102,0,2024-01-13
C0250,elena.khan59@gmail.com,d55cab59527a1360df976974104be411a0a5adacad8250c06893e2d3e300e3c8,10001,0,2024-09-07
C0013,aisha.rossi59@outlook.com,c6c4d32c7ee2a5e25e7dfcd0552cf7f6adac131da5cdaa661a9b7038adb36407,60601,0,2024-01-29
C0117,lucas.gupta29@outlook.com,,02108,0,2024-09-21
C0200,nina.kim68@icloud.com,f4bb88aefe4b02b3c912dd21c9134835a04d7af2efd31d76208b19dd34fc8d90,10001,0,2026-01-19
C0215,omar.kim31@icloud.com,099890d7165d87808c6a7a45522772d9aab66b4447677e8b0034094a612d83af,33101,0,2024-01-06
C0083,mila.ali83@protonmail.com,,02108,0,2025-10-23
C0164,maya.sharma31@yahoo.com,fa592b4f695ce69e27df38646821644669c5d68f5db71cf56825706a7d94fa01,20001,0,2022-06-03
C0072,ethan.fernandez71@icloud.com,68e9579ca030e0f801e2a864ca074aae0f58cc54a2f4de3beae848c8999370e0,20001,1,2022-01-20
C0181,mila.murphy15@icloud.com,,80202,0,2024-11-19
C0040,ava.garcia91@gmail.com,73418584b8410fdf0547328655c24be75522e2b3551d8233274f1c5aeca8dd47,,0,2026-07-25
C0041,liam.murphy10@protonmail.com,,94102,0,2023-07-25
C0085,ethan.jones34@gmail.com,,90001,0,2025-05-06
C0118,ava.brooks44@icloud.com,,19103,0,2022-12-05
C0030,,,60601,0,2024-02-05
C0111,maya.nguyen20@yahoo.com,340ef53ca29ccbf12ca3dcd15bc574ed4fcbf881c98ef3194189c98895769110,02108,0,2025-11-22
C0110,lucas.rossi43@outlook.com,f673ffc7c7eb777f6ff98439348271fc7285af5211ec80fd2dd7ec77059aac0d,85001,0,2025-01-11
C0234,lucas.iyer18@icloud.com,6259b83576882c5bdef782dcc42a8a42d64fab5a5faded77e36c21fb151228d5,98101,0,2024-01-30
C0282,aisha.iyer91@yahoo.com,b5cc544f2d35a7695014c84acf96e5658669da7dd6730a4d5ba0273d2ffc8ea1,20001,0,2025-02-18
C0167,arjun.fernandez10@yahoo.com.,,48201,0,2026-06-09
C0298,arjun.fernandez58@gmail.com,f8a38529a9fb3eb6acb0d2b2cb6f71316f9dce9f59b99bb64f11aea71c121e34,10001,0,2024-01-26
C0264,,,60601,1,2025-09-06
C0261,mateo.nguyen72@gmail.com,,33101,0,2025-02-24
C0010,maya.iyer38@protonmail.com,e90235e1747f78b86a47d789d5687f3c1f451e01ebe6c9431d4f0a3dcebcb0de,,0,2026-08-04
C0018,liam.singh5@outlook.com,e966219c2227dc8ff5d46e8ddf2bd0e0e78c55f679461250ff2b229b8e094805,02108,0,2023-07-03
C0218,liam.kaur96@icloud.com,43adaa4467eda2c14303ef0a4342129a68d3223df941c9f559c6aa62a27b755c,80202,0,2023-08-10
C0288,aisha.haddad11@icloud.com,,80202,1,2023-09-28
C0148,sofia.ali90@icloud.com,88ae55156fb4bf181854ab7fae1170565d045957b40cd8128944ce0a7269f4cb,30301,0,2023-09-20
C0045,leo.fernandez94@gmail.com,85baec76b19c4fbd1e3585ace986819a7d1ec7f2ae890fff6f09dae047302eb9,78701,0,2025-08-31
C0228,kai.kim59@outlook.com,be856ac43518d3f4e78c4ca217b0b0d80363998d32e3d6c6ac6a424e9a0e7d70,78701,1,2026-03-14
C0222,zoe.garcia38@outlook.com,652839b85e96f96e1b39590a580fd247b5e42057db18304286ddad2e5b0062cc,19103,0,2024-04-30
C0156,omar.fernandez44@yahoo.com,f08203cd049fccb339a2158925e101e732918c7bb09dbd52b1173734cf957c36,10001,1,2023-06-02
C0033,arjun.singh8@yahoo.com,,85001,0,2025-03-07
C0295,dev.murphy81@outlook.com,8b5a01d9178c1f0f731ff766681060881dc5a5c4e57c9b72621d92ef40daa2c6,60601,0,2024-06-19
C0232,nina.khan84@icloud.com,14cc5f1bea61f1a5f8ffef39f484adc87b411d3e990915ccae9b02e874c0c017,90001,0,2022-10-14
C0006,ava.sharma90@icloud.com,,75201,0,2023-07-24
C0151,mila.jones98@protonmail.com,790416e25cfdbcba877e1a8ab7995d31d073298c23f76f88ffce6ac0666f7049,33101,0,2023-08-03
C0266,mateo.kim98@outlook.com,8e557b14628060540fb1e6dd4ac8b129e72699229b3be55304ce4eec59412bee,33101,0,2023-04-09
C0162,leo.khan73@protonmail.com,8c5d58406111ea47010c19402ad78648d652e605285c4b15e970d8051be4e3d6,10001,0,2025-06-02
C0071,liam.chen43@yahoo.com,cfd2953b448e83331729fccfbf8321c806b50d75324fa9e2c115df9e992d53f6,78701,0,2023-06-21
C0084,kai.murphy4@gmail.com,946a0da729ff18a65341b7803dbe7da3df9624fd6eccf9ef479009e13efd9752,85001,1,2023-06-19
C0240,priya.kaur3@gmail.com,,48201,1,2023-11-15
C0166,omar.khan5@yahoo.com,,30301,0,2025-12-18
C0294,ruby.jones58@protonmail.com,,78701,0,2025-07-25
C0204,omar.iyer5@protonmail.com,5e73791bfdde567b31c380644894f07e1f63c41dd1d77334302bfca93922428f,90001,1,2023-04-26
C0219,lucas.kaur46@yahoo.com,,78701,0,2023-01-25
C0068,noah.iyer20@outlook.com,3865091b97ce35e4b5f470aabc93d8d0707506a6fb7ead75d53cb29d6dca509a,30301,0,2025-05-23
C0011,ruby.lopez91@gmail.com,,10001,0,2025-09-16
C0103,noah.das29@yahoo.com,56fcf1e2cf4c9c346cdf75f47d055dc4c020f62b06083e2fc4aaa3dc93019952,48201,0,2025-11-26
C0143,elena.lopez11@yahoo.com,e9c833555d77b9f0744867a1fa7e4375941e5616de4969efd141abbcee610888,19103,0,2024-04-12
C0161,elena.brooks58@icloud.com,,30301,0,2025-04-20
C0188,zoe.gupta92@outlook.com,7376a10ea0da8c04b3d29f37284ed6dc973e357b3e2f0101f112e0f16224f8b4,20001,0,2025-12-15
C0105,nina.nguyen60@protonmail.com,,20001,0,2025-05-04
C0104,elena.fernandez7@protonmail.com,d80438127e054f9b70f6ace0e03dd92b4ea9fbfb9f6b523522bb5e1fea123b7f,94102,0,2022-09-06
