customer_id,email,hashed_email,zip_code,product_category,last_activity_date,total_purchases,total_spend,engagement_score,premium_interaction_flag,engagement_tier
C0219,lucas.kaur46@yahoo.com,,78701,Skincare,2026-08-17,1,152.00,11,0,high
C0286,sofia.sharma80@icloud.com,1f8b656d487663fbfd9e8ec81b217c82c8b0ee2aab7af0b1d9a65de9b75620d7,80202,Skincare,2026-06-27,1,34.00,1,1,low
C0233,liam.patel39@icloud.com,,90001,Skincare,2026-08-27,2,386.00,1,0,low
C0148,sofia.ali90@icloud.com,88ae55156fb4bf181854ab7fae1170565d045957b40cd8128944ce0a7269f4cb,30301,Skincare,2026-09-20,2,142.00,2,0,low
C0197,leo.patel41@icloud.com,,19103,Skincare,2026-08-15,1,29.00,6,1,medium
C0205,arjun.singh96@gmail.com,a1daff94bc0260323099d2a66eb2ef55ac781c91fb0efbc7e77459831a981dd4,02108,Skincare,2026-08-24,1,117.00,1,0,low
C0086,leo.ali94@outlook.com,,02108,Skincare,2026-07-15,1,108.00,1,1,low
C0220,dev.rossi87@yahoo.com,5c0d4df93b81cacd8fe37d507600955cdbbdcf2ff54a948baf6647b7f785b14c,78701,Skincare,2026-07-10,1,192.00,5,0,medium
C0256,noah.iyer93@yahoo.com,,02108,Skincare,2026-09-03,1,52.00,4,1,medium
C0018,liam.singh5@outlook.com,e966219c2227dc8ff5d46e8ddf2bd0e0e78c55f679461250ff2b229b8e094805,02108,Skincare,2026-08-04,1,102.00,2,1,low
C0223,ethan.lopez17@protonmail.com,a6640ec84207b46cc6b871290d96f9d939166b4bf4360885f52e0ceb3fa30709,85001,Skincare,2026-08-23,1,34.00,5,1,medium
C0294,ruby.jones58@protonmail.com,,78701,Skincare,2026-07-27,2,336.00,2,0,low
C0040,ava.garcia91@gmail.com,73418584b8410fdf0547328655c24be75522e2b3551d8233274f1c5aeca8dd47,,Skincare,2026-08-09,1,240.00,1,0,low
C0077,kai.das80@yahoo.com,643538ca1d387e4a7762b1e1db7d391b1a81d85d2186e09bb5d0f7f705d0d98c,85001,Skincare,2026-06-26,1,33.00,2,0,low
C0073,noah.garcia89@yahoo.com,,20001,Skincare,2026-09-09,1,110.00,2,1,low
C0076,priya.singh86@gmail.com,453b06ed3130c38eca7baaaeff47871d9216f6344e66a6ae4253e1969f6f0c11,75201,Skincare,2026-08-03,1,176.00,10,0,high
C0217,aisha.rossi2@protonmail.com,,80202,Skincare,2026-08-16,1,108.00,5,0,medium
C0244,zoe.iyer33@yahoo.com,ca46ec91d8ef5d3112afb8634922e59166e7392e9360665ca3887663bcc2e1f3,90001,Skincare,2026-09-10,1,240.00,1,1,low
C0157,omar.kim9@icloud.com,3fe4e49e95987304989a379bdb27f3431a8647ed8b24ae60a6b9f725522356f8,98101,Skincare,2026-09-04,2,106.00,2,0,low
C0174,mila.chen12@yahoo.com,89f7bae5235b1530bd1fe2fad8219079aa41f84dda88c42bf3045328934e5012,78701,Skincare,2026-09-08,2,114.00,3,1,low
C0210,dev.singh64@protonmail.com,22b02ea6742c245d1a08560bcdabd04bd0ea41227e9444a6aba8fe9537b13cc4,60601,Skincare,2026-08-14,1,176.00,12,0,high
C0110,lucas.rossi43@outlook.com,f673ffc7c7eb777f6ff98439348271fc7285af5211ec80fd2dd7ec77059aac0d,85001,Skincare,2026-08-25,2,348.00,2,0,low
C0262,kai.murphy86@gmail.com,,02108,Skincare,2026-07-29,1,36.00,1,0,low
C0114,leo.brooks99@protonmail.com,a94a69e78ba719f3993ea52d1effeca0a3a8fe6a82fcccad70ad47241b28d23d,19103,Skincare,2026-07-18,1,135.00,5,0,medium
C0083,mila.ali83@protonmail.com,,02108,Skincare,2026-06-26,1,64.00,5,0,medium
C0263,leo.patel37@protonmail.com,7e5a858ccefacf8a0a555de8d30d2f006989b7b5e388840fc6d025e3169b7481,30301,Skincare,2026-08-29,1,76.00,5,0,medium
C0016,lucas.sharma60@icloud.com,,30301,Skincare,2026-07-08,1,285.00,1,0,low
C0039,ava.jones71@yahoo.com,6771e3346269bb32afed12882874d9aa82ca61acd7fb0d6504e5f1cf23354cfa,33101,Skincare,2026-08-18,1,76.00,2,0,low
C0254,kai.murphy49@protonmail.com,abbcc10163139da6e31fee43b5861eeb072d8545c2581c79a92dffdfdec9f1d6,20001,Skincare,2026-08-17,1,96.00,1,0,low
C0255,nina.haddad78@icloud.com,6b764cc9d2eee4a130e74261b016f9abd3e68f8bd2987b1aaee8f8943dbfda96,,Skincare,2026-09-07,1,96.00,2,1,low
C0025,leo.kaur9@icloud.com,,02108,Skincare,2026-09-14,1,88.00,1,0,low
C0278,ruby.gupta68@outlook.com,,10001,Skincare,2026-09-19,1,84.00,2,0,low
C0215,omar.kim31@icloud.com,099890d7165d87808c6a7a45522772d9aab66b4447677e8b0034094a612d83af,33101,Skincare,2026-09-05,1,44.00,2,0,low
C0034,maya.garcia94@icloud.com,a86b974bd113d4a60ddeb110a616c1f07bc0da8998ec69f8aec6923ecaac0679,80202,Skincare,2026-08-08,1,54.00,11,1,high
C0145,omar.fernandez3@gmail.com,,30301,Skincare,2026-09-01,1,88.00,7,1,medium
C0293,maya.sharma99@icloud.com,,98101,Skincare,2026-07-09,1,46.00,1,0,low
C0229,mila.jones49@outlook.com,,90001,Skincare,2026-08-20,1,249.00,10,1,high
C0089,priya.ali56@gmail.com,,78701,Skincare,2026-08-02,1,24.00,2,0,low
C0281,noah.chen64@icloud.com,,60601,Skincare,2026-09-04,1,54.00,3,0,low
C0028,leo.sharma59@gmail.com,013e0d2c5c6c632980814eddb8f603fc79e497a00f7eff4cbdd35554a7cfc20f,19103,Skincare,2026-07-22,0,0.00,5,1,medium
C0029,mila.haddad98@yahoo.com,1227ed7c210b7a80621e7c6fd6b1ec9c0ca2932e9cd7dbb5642a204af4fefd69,20001,Skincare,2026-08-23,0,0.00,3,1,low
C0102,lucas.nguyen84@gmail.com,,85001,Skincare,2026-08-22,0,0.00,3,1,low
C0141,ethan.gupta28@outlook.com,98d1367ca2dca8356e31a7ced68bcd26f9f151882ee859235db712c3bb0f6d19,48201,Skincare,2026-08-31,0,0.00,1,1,low
C0222,zoe.garcia38@outlook.com,652839b85e96f96e1b39590a580fd247b5e42057db18304286ddad2e5b0062cc,19103,Skincare,2026-08-07,0,0.00,1,1,low
C0232,nina.khan84@icloud.com,14cc5f1bea61f1a5f8ffef39f484adc87b411d3e990915ccae9b02e874c0c017,90001,Skincare,2026-07-01,0,0.00,1,0,low
C0266,mateo.kim98@outlook.com,8e557b14628060540fb1e6dd4ac8b129e72699229b3be55304ce4eec59412bee,33101,Skincare,2026-09-16,0,0.00,22,0,high
C0118,ava.brooks44@icloud.com,,19103,Skincare,2026-09-07,0,0.00,1,1,low
C0258,noah.murphy55@outlook.com,9dd19c5af068746f067c06838e5524371c53aa3b25759d53de5139ea0d38a1db,78701,Skincare,2026-08-17,0,0.00,3,1,low
C0299,arjun.garcia83@gmail.com,,33101,Skincare,2026-09-03,0,0.00,2,0,low
C0079,sofia.das86@yahoo.com,75690a42aa39df7acaf9eac5269fbbcc48341067c713d56fe327964ff98d31b7,30301,Skincare,2026-06-29,0,0.00,1,0,low
C0080,noah.brooks5@icloud.com,,94102,Skincare,2026-09-20,0,0.00,1,1,low
C0105,nina.nguyen60@protonmail.com,,20001,Skincare,2026-07-12,0,0.00,1,0,low
C0183,elena.ali80@icloud.com,800ddfdb29491745fda8c3ff37bb280e2792d272fbf9e78b4be76f1cc8489673,78701,Skincare,2026-07-05,0,0.00,2,1,low
C0231,sofia.kaur29@gmail.com,b351726b3161338a1be0da3f0cd545b4699f115bfe37cfdbdd4f4e3a24716498,78701,Skincare,2026-08-20,0,0.00,3,1,low
C0093,aisha.sharma79@protonmail.com,c63303ebb1db1694cfb4bf215606dbd28464f85c082820a65b4b740c054bb90d,30301,Skincare,2026-09-14,0,0.00,10,0,high
C0146,aisha.singh40@protonmail.com,6a8c605817a97e80e90df8eb1474464f47d7ae911fe98e71948af7dd20172ece,75201,Skincare,2026-08-31,0,0.00,10,0,high
C0152,noah.lopez38@yahoo.com,e825b97e29c505c80d8a47b174b006e39b387ec58631383f4b913a5f11e100c0,75201,Skincare,2026-07-15,0,0.00,1,0,low
C0182,ava.iyer60@icloud.com,,10001,Skincare,2026-07-15,0,0.00,1,1,low
C0202,mila.murphy80@icloud.com,9852a0fafcf88c3ae8a76b004a0e90bd822684d89c842f4025fe5a9dd6bf5364,78701,Skincare,2026-07-03,0,0.00,2,0,low
C0221,liam.khan57@gmail.com,99a23ae13aa38daf9eaf0fd6feed3ff30d74a86854620c3a1714d92021aef300,33101,Skincare,2026-07-22,0,0.00,4,1,medium
C0245,ava.nguyen2@outlook.com,,48201,Skincare,2026-08-05,0,0.00,5,0,medium
C0172,mila.haddad70@icloud.com,f3f5b5d6afd7bd264eefadb982657a2bafb9b4facb289df3f26c58734aa8b4ba,98101,Skincare,2026-09-08,0,0.00,2,1,low
C0236,noah.gupta79@icloud.com,d3df9787881183ccbff023c15b17f7f46a0034f559776bcda45f59476f7a3fde,30301,Skincare,2026-09-14,0,0.00,2,0,low
C0271,ava.garcia96@protonmail.com,6959a05507c3ae50c26da06521708beb5af93a1fe13da13779296cb2789568f3,94102,Skincare,2026-06-23,0,0.00,2,0,low
C0038,nina.kim32@yahoo.com,,90001,Skincare,2026-09-13,0,0.00,7,1,medium
